trial,stim,color,answer,response_L,response_R,correct,reactionTime
1,1,blue,0,1,1,0,0.8512729149952065
1,2,red,0,1,1,0,0.9204839520098176
1,3,green,0,1,1,0,0.8902625229966361
1,4,red,1,1,1,0,1.0016268479812425
1,5,green,1,1,1,0,0.5454699349938892
1,6,blue,0,1,1,0,1.0092137500178069
1,7,red,0,1,1,0,0.7275131909991615
1,8,yellow,0,1,1,0,1.0079309620196
1,9,red,1,1,1,0,1.0089492859842721
1,10,green,0,1,1,0,0.9675701179949101
1,11,yellow,0,1,1,0,1.0048189839872066
1,12,blue,0,1,1,0,1.0113590300024953
2,1,blue,0,1,1,0,-0.1522417690139264
2,2,yellow,0,1,1,0,0.5402030409895815
2,3,red,0,1,1,0,1.0025133329909295
2,4,yellow,1,1,1,0,1.007707312994171
2,5,green,0,1,1,0,1.0171722870145459
2,6,red,0,1,1,0,0.9596358599956147
2,7,yellow,0,1,1,0,1.0165276670013554
2,8,blue,0,1,1,0,1.0072517399967182
2,9,yellow,1,1,1,0,0.4052304709912278
2,10,blue,1,1,1,0,1.0166054610162973
2,11,green,0,1,1,0,1.0126134369929787
2,12,yellow,0,1,1,0,1.0023818649933673
